user,url,likes,comments,followers,likes/followers
https://www.instagram.com/omudanshi,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21568876_516747975329145_7224581196024381440_n.jpg,2801,63,37087,0.076
https://www.instagram.com/cookpad_tv,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e15/21436209_490619147962909_6441675380280524800_n.jpg,2574,3,698562,0.004
https://www.instagram.com/shimusaya715,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21373593_129136924391498_855108132999790592_n.jpg,642,13,2990,0.215
https://www.instagram.com/se_ra1031,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21373557_781604498678980_7273631814193774592_n.jpg,1746,0,30927,0.056
https://www.instagram.com/a_kchan,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480115_566505347074652_1343811729804492800_n.jpg,1396,21,23345,0.060
https://www.instagram.com/keimaru7025,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435941_1082833495185115_4616313897228435456_n.jpg,334,2,8712,0.038
https://www.instagram.com/poti1974,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21372841_161660197745767_614619488028983296_n.jpg,1648,8,21601,0.076
https://www.instagram.com/tksysd_fukui,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21373278_1467472606682564_2408754587449163776_n.jpg,309,4,2417,0.128
https://www.instagram.com/umekimihoko,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21434072_115060549170055_3744401979560951808_n.jpg,587,36,1928,0.304
https://www.instagram.com/purin313,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21568890_141179589823180_1749845246339973120_n.jpg,16,0,507,0.032
https://www.instagram.com/yuetuki1,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433290_1137389973059744_1911816610625093632_n.jpg,1,0,4,0.250
https://www.instagram.com/drumsboo,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480147_235996373591282_2195248090967965696_n.jpg,10,0,244,0.041
https://www.instagram.com/katokurumi,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433865_114563075902297_4430219930729709568_n.jpg,6,0,73,0.082
https://www.instagram.com/mizutamado,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480525_1184854268316301_3077410678231793664_n.jpg,4,0,32,0.125
https://www.instagram.com/nonkuma_69,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480422_115733905810297_6731152877496041472_n.jpg,8,1,48,0.167
https://www.instagram.com/yurika.nishimura,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21434201_130514294240414_1941488980600029184_n.jpg,0,0,55,0.000
https://www.instagram.com/wani.kotetsu0828,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21479778_1551518771572596_443334658961178624_n.jpg,2,0,181,0.011
https://www.instagram.com/aoi.egg,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21479733_326696457792025_3057094056992571392_n.jpg,0,0,8,0.000
https://www.instagram.com/kurunpaken,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435581_681101788749767_112747293861478400_n.jpg,4,0,61,0.066
https://www.instagram.com/sakura412915,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480543_1528322507232513_5461662202379370496_n.jpg,5,0,10,0.500
https://www.instagram.com/015_okamotsu,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435476_278655272623230_401457203111788544_n.jpg,9,0,75,0.120
https://www.instagram.com/hana192325,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435581_121857805207132_2710803170472230912_n.jpg,7,0,91,0.077
https://www.instagram.com/rui_kitchen,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480478_894159380753682_5852952895778979840_n.jpg,2,0,42,0.048
https://www.instagram.com/boririn.2525,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433964_1498945900189534_5443267067904000000_n.jpg,15,0,274,0.055
https://www.instagram.com/xxnaoooxx,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480570_1906466773009445_5035762649623691264_n.jpg,32,0,332,0.096
https://www.instagram.com/minami_nikaidou,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480527_168885957006348_8810086330601046016_n.jpg,18,1,333,0.054
https://www.instagram.com/emi_o_1208,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480269_124166184847847_7902327078282854400_n.jpg,1,0,13,0.077
https://www.instagram.com/quadrophenia_66,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480073_289659371511608_6047443596355829760_n.jpg,1,0,47,0.021
https://www.instagram.com/tsutomuakabane,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21373736_2003008393313788_1228757398554935296_n.jpg,36,0,3674,0.010
https://www.instagram.com/toshiyakuramoto,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21436105_1956957081216730_7849208619278008320_n.jpg,10,0,117,0.085
https://www.instagram.com/madeinurouro,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435991_1202144863224117_7554634194178015232_n.jpg,2,0,95,0.021
https://www.instagram.com/shinya_cd,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21479937_306780236452118_555866693356748800_n.jpg,1,0,53,0.019
https://www.instagram.com/nafourstagram8,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435836_171825670047626_7189716360912437248_n.jpg,22,0,322,0.068
https://www.instagram.com/cafeyamananya,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480286_1944973499115906_8788274541051772928_n.jpg,9,0,251,0.036
https://www.instagram.com/ko_fufu,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21436241_206640909873940_6181945676960628736_n.jpg,15,1,127,0.118
https://www.instagram.com/myp0415,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435784_1871877843131332_8540038286180089856_n.jpg,5,0,3,1.667
https://www.instagram.com/haru_kmr730,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21373729_107930846615913_7871696664312938496_n.jpg,3,0,12,0.250
https://www.instagram.com/tohyang.11,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433504_357724074651704_6505386718990958592_n.jpg,16,0,157,0.102
https://www.instagram.com/himeichi.k.t,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435401_1844925349156325_8644415066738786304_n.jpg,10,0,80,0.125
https://www.instagram.com/heartlandkitchen,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433953_1959525024259990_6278104029008494592_n.jpg,8,0,89,0.090
https://www.instagram.com/maimai__0626,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21568463_382582068822761_7646713388151603200_n.jpg,12,0,73,0.164
https://www.instagram.com/ranran3a,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433505_1891077577820225_8096666879478726656_n.jpg,10,0,81,0.123
https://www.instagram.com/hinstagrayom,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21436035_705379826318294_5049876908590759936_n.jpg,21,0,369,0.057
https://www.instagram.com/s_310_s,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21373690_175366966341687_6368051978605428736_n.jpg,12,0,37,0.324
https://www.instagram.com/yrk_414,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435421_962273747283188_1379455508775174144_n.jpg,20,0,202,0.099
https://www.instagram.com/bonheur919,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21568956_1828150904127786_6126989019197734912_n.jpg,2,0,2,1.000
https://www.instagram.com/s_310_s,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e15/21568731_270634916766021_1365017198820589568_n.jpg,11,1,37,0.297
https://www.instagram.com/516_handa,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435524_1986053838346153_8263378925585956864_n.jpg,58,4,622,0.093
https://www.instagram.com/nonkaffe,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433451_116625349011768_3627508526135377920_n.jpg,19,1,205,0.093
https://www.instagram.com/yu2451ki,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480418_1457938184290896_6428523773808345088_n.jpg,3,0,22,0.136
https://www.instagram.com/mikiandsunflower,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21479678_131486550809376_5136084615982743552_n.jpg,18,1,881,0.020
https://www.instagram.com/dogcafe_moimoi,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435874_1495106187250481_6546540133548556288_n.jpg,4,0,85,0.047
https://www.instagram.com/kumarism2016,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433637_496311090753043_1778692514442641408_n.jpg,19,0,127,0.150
https://www.instagram.com/aiglonomuraisu,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21436197_1341078112686493_1741933053292314624_n.jpg,11,0,56,0.196
https://www.instagram.com/rika__pa,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435334_335155873609682_2853949860602707968_n.jpg,10,1,105,0.095
https://www.instagram.com/13tomio,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21479676_148456795747082_4917688788861321216_n.jpg,16,0,804,0.020
https://www.instagram.com/shionphotolove,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21434269_924189264399984_3175656362910679040_n.jpg,1,0,72,0.014
https://www.instagram.com/shisui_a,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435345_1974181849530214_9217882321326178304_n.jpg,5,0,46,0.109
https://www.instagram.com/vendor.boy,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21569218_1938673509747495_5653538887075627008_n.jpg,12,0,26,0.462
https://www.instagram.com/donn0317,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480341_115470779141100_418226774070001664_n.jpg,4,0,49,0.082
